t_us,ch1,ch2,ch3,ch4,pc_time,label
367876162,1443,891,1115,1299,1770289238.847025,center
367880163,1362,792,976,1188,1770289238.851012,center
367884163,1353,849,1050,1206,1770289238.855047,center
367888164,1406,905,1121,1287,1770289238.859094,center
367892162,1442,903,1124,1308,1770289238.8630478,center
367896162,1351,778,959,1172,1770289238.866978,center
367900163,1350,861,1058,1215,1770289238.871073,center
367904163,1399,896,1113,1280,1770289238.8750741,center
367908164,1451,911,1124,1314,1770289238.8791108,center
367912162,1377,802,988,1197,1770289238.8829792,center
367916162,1362,847,1042,1211,1770289238.88709,center
367920163,1391,885,1101,1263,1770289238.891103,center
367924163,1447,915,1130,1312,1770289238.895135,center
367928164,1401,825,1022,1224,1770289238.8991191,center
367932162,1377,842,1037,1210,1770289238.9031198,center
367936162,1387,872,1082,1246,1770289238.9071512,center
367940163,1448,923,1136,1314,1770289238.91116,center
367944163,1418,844,1051,1244,1770289238.915149,center
367948164,1372,823,1016,1201,1770289238.919025,center
367952162,1372,859,1062,1224,1770289238.923038,center
367956162,1439,925,1137,1311,1770289238.9270442,center
367960163,1422,859,1072,1263,1770289238.931078,center
367964164,1366,806,991,1192,1770289238.9350002,center
367968164,1356,852,1055,1213,1770289238.939112,center
367972162,1420,919,1136,1304,1770289238.943178,center
367976162,1436,883,1104,1293,1770289238.9471512,center
367980163,1360,795,978,1191,1770289238.9510772,center
367984163,1355,849,1047,1208,1770289238.9551811,center
367988162,1407,907,1123,1286,1770289238.959179,center
367992162,1439,902,1121,1308,1770289238.963205,center
367996163,1353,784,971,1182,1770289238.9671528,center
368000163,1357,857,1056,1217,1770289238.971191,center
368004164,1406,898,1116,1285,1770289238.975191,center
368008162,1445,907,1130,1319,1770289238.979222,center
368012163,1372,789,979,1193,1770289238.9831,center
368016162,1366,853,1054,1218,1770289238.987162,center
368020164,1397,887,1110,1270,1770289238.9911602,center
368024164,1455,913,1130,1311,1770289238.995254,center
368028162,1391,814,1004,1217,1770289238.999247,center
368032162,1386,862,1062,1227,1770289239.00325,center
368036163,1393,877,1088,1255,1770289239.007251,center
368040164,1446,913,1127,1308,1770289239.011242,center
368044164,1408,836,1036,1227,1770289239.0152361,center
368048162,1379,846,1043,1215,1770289239.0192819,center
368052162,1380,866,1077,1244,1770289239.023222,center
368056163,1445,922,1137,1313,1770289239.027284,center
368060164,1423,848,1059,1249,1770289239.031175,center
368064164,1380,826,1018,1204,1770289239.035166,center
368068162,1380,864,1070,1232,1770289239.039156,center
368072162,1430,915,1129,1304,1770289239.043175,center
368076163,1430,872,1088,1278,1770289239.047159,center
368080164,1365,807,992,1198,1770289239.05107,center
368084162,1370,861,1063,1225,1770289239.0553222,center
368088162,1412,897,1114,1285,1770289239.0592818,center
368092162,1439,896,1111,1294,1770289239.063304,center
368096163,1355,791,978,1187,1770289239.06723,center
368100164,1365,864,1066,1225,1770289239.07136,center
368104164,1403,890,1113,1275,1770289239.075299,center
368108162,1446,901,1119,1301,1770289239.079304,center
368112162,1353,780,962,1170,1770289239.083296,down
368116163,1369,874,1080,1238,1770289239.087268,down
368120164,1405,886,1111,1277,1770289239.091361,down
368124164,1454,906,1127,1313,1770289239.095398,down
368128162,1383,806,994,1208,1770289239.099576,down
368132162,1385,866,1070,1235,1770289239.1034,down
368136163,1400,881,1097,1267,1770289239.10737,down
368140164,1455,909,1126,1308,1770289239.111361,down
368144162,1406,829,1025,1223,1770289239.115424,down
